i,j,EBC,CFEdge,BridgeImpact,MinCutCrit,line_name,line_voltage,length_m
5766,9349,0.018609634093505058,0.11335138238994805,0.0,0.014061207609594707,東京北線 (Tōkyō Kita Sen),275000,18884.6136557184
5793,5796,0.03796526054590571,0.037965260545905904,0.019230769230769273,0.00967741935483871,春日部線 (Kasukabe Sen),275000,6715.36078725994
5796,9355,0.025475599669148058,0.02547559966914825,0.012820512820512775,0.011910669975186104,春日部線 (Kasukabe Sen),275000,13735.8968503543
2025,2082,0.01668045216432312,0.01864998022080798,0.0,0.006865177832919769,,275000;275000,2261.78121368446
467,6035,0.004106699751861041,0.039159710985542495,0.0,0.009429280397022333,南狭山線; 日高線,275000,3447.56365443917
509,5901,0.01282051282051282,0.012820512820513197,0.0064102564102563875,0.010090984284532672,,275000,9827.47203906056
486,6066,0.01104356217259443,0.05710646279739029,0.0,0.013647642679900745,,275000,1502.90990700658
2226,486,0.025849186655638266,0.06002263926294817,0.0,0.013895781637717122,新坂戸線 (Shin Sakado Sen),500000;500000,5785.04179526313
1118,486,0.01282051282051282,0.012820512820513157,0.0064102564102563875,0.011662531017369727,新坂戸線 (Shin Sakado Sen),500000;500000,10388.3771961931
1006,6063,0.3011173772464094,0.20450921863189242,0.0,0.011910669975186104,新古河線 (Shin Koga Sen),500000,35756.6288316468
6071,914,0.01282051282051282,0.012820512820512914,0.0064102564102563875,0.010669975186104219,江東線 (Kōtō-sen);江東線;江東線 (Kōtō-sen),275000;275000;275000,7712.48172457292
188,370,0.025475599669148058,0.025475599669148117,0.012820512820512775,0.011579818031430935,西北線,275000,5218.54998635856
266,370,0.01282051282051282,0.012820512820513505,0.0064102564102563875,0.012655086848635236,西北線;西北線; 稲城線;稲城線,275000;66000,829.500531458948
400,437,0.01282051282051282,0.012820512820513042,0.0064102564102563875,0.01174524400330852,西越谷線 (Nishi Koshigaya Sen),275000,2360.26666134375
5768,9355,0.01282051282051282,0.012820512820513467,0.0064102564102563875,0.01240694789081886,春日部線 (Kasukabe Sen),275000,481.599044495366
275,9174,0.0425923896891639,0.11661380751039646,0.0,0.015632754342431762,佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線;佐久間東幹線,275000;275000;275000;275000;275000,56.9160050917612
